,IdState,State,IdQuarter,Quarter,Total
0,2,Baja California,20101,2010-Q1,1395334
1,2,Baja California,20102,2010-Q2,1401569
2,2,Baja California,20103,2010-Q3,1382754
3,2,Baja California,20104,2010-Q4,1411439
4,2,Baja California,20111,2011-Q1,1400637
5,2,Baja California,20112,2011-Q2,1434978
6,2,Baja California,20113,2011-Q3,1439691
7,2,Baja California,20114,2011-Q4,1507177
8,2,Baja California,20121,2012-Q1,1445442
9,2,Baja California,20122,2012-Q2,1527672
10,2,Baja California,20123,2012-Q3,1523252
11,2,Baja California,20124,2012-Q4,1512675
12,2,Baja California,20131,2013-Q1,1482792
13,2,Baja California,20132,2013-Q2,1571599
14,2,Baja California,20133,2013-Q3,1549395
15,2,Baja California,20134,2013-Q4,1555422
16,2,Baja California,20141,2014-Q1,1538237
17,2,Baja California,20142,2014-Q2,1570158
18,2,Baja California,20143,2014-Q3,1557099
19,2,Baja California,20144,2014-Q4,1571047
20,2,Baja California,20151,2015-Q1,1562464
21,2,Baja California,20152,2015-Q2,1575652
22,2,Baja California,20153,2015-Q3,1574118
23,2,Baja California,20154,2015-Q4,1597427
24,2,Baja California,20161,2016-Q1,1576842
25,2,Baja California,20162,2016-Q2,1595592
26,2,Baja California,20163,2016-Q3,1637164
27,2,Baja California,20164,2016-Q4,1636376
28,2,Baja California,20171,2017-Q1,1616851
29,2,Baja California,20172,2017-Q2,1684210
30,2,Baja California,20173,2017-Q3,1680359
31,2,Baja California,20174,2017-Q4,1677618
32,2,Baja California,20181,2018-Q1,1684414
33,2,Baja California,20182,2018-Q2,1725122
34,2,Baja California,20183,2018-Q3,1725713
35,2,Baja California,20184,2018-Q4,1741615
36,2,Baja California,20191,2019-Q1,1729489
37,2,Baja California,20192,2019-Q2,1759204
38,2,Baja California,20193,2019-Q3,1773973
39,2,Baja California,20194,2019-Q4,1766564
40,2,Baja California,20201,2020-Q1,1726324
41,2,Baja California,20203,2020-Q3,1654638
42,2,Baja California,20204,2020-Q4,1705014
43,2,Baja California,20211,2021-Q1,1731982
44,2,Baja California,20212,2021-Q2,1808741
45,2,Baja California,20213,2021-Q3,1813625
46,2,Baja California,20214,2021-Q4,1827448
47,2,Baja California,20221,2022-Q1,1804722
48,2,Baja California,20222,2022-Q2,1852949
49,2,Baja California,20223,2022-Q3,1830056
50,2,Baja California,20224,2022-Q4,1848093
51,2,Baja California,20231,2023-Q1,1823719
52,2,Baja California,20232,2023-Q2,1846385
53,2,Baja California,20233,2023-Q3,1857281
54,2,Baja California,20234,2023-Q4,1856957
55,2,Baja California,20241,2024-Q1,1818443
56,2,Baja California,20242,2024-Q2,1845191
57,2,Baja California,20243,2024-Q3,1822187
58,2,Baja California,20244,2024-Q4,1815785
59,2,Baja California,20251,2025-Q1,1800869
