,IdState,State,IdQuarter,Quarter,IdSex,Sex,Total
0,2,Baja California,20101,2010-Q1,Hombre,1,871703
1,2,Baja California,20101,2010-Q1,Mujer,2,523631
2,2,Baja California,20102,2010-Q2,Hombre,1,865855
3,2,Baja California,20102,2010-Q2,Mujer,2,535714
4,2,Baja California,20103,2010-Q3,Hombre,1,866836
5,2,Baja California,20103,2010-Q3,Mujer,2,515918
6,2,Baja California,20104,2010-Q4,Hombre,1,875350
7,2,Baja California,20104,2010-Q4,Mujer,2,536089
8,2,Baja California,20111,2011-Q1,Hombre,1,883117
9,2,Baja California,20111,2011-Q1,Mujer,2,517520
10,2,Baja California,20112,2011-Q2,Hombre,1,901511
11,2,Baja California,20112,2011-Q2,Mujer,2,533467
12,2,Baja California,20113,2011-Q3,Hombre,1,894659
13,2,Baja California,20113,2011-Q3,Mujer,2,545032
14,2,Baja California,20114,2011-Q4,Hombre,1,926583
15,2,Baja California,20114,2011-Q4,Mujer,2,580594
16,2,Baja California,20121,2012-Q1,Hombre,1,898947
17,2,Baja California,20121,2012-Q1,Mujer,2,546495
18,2,Baja California,20122,2012-Q2,Hombre,1,933521
19,2,Baja California,20122,2012-Q2,Mujer,2,594151
20,2,Baja California,20123,2012-Q3,Hombre,1,930189
21,2,Baja California,20123,2012-Q3,Mujer,2,593063
22,2,Baja California,20124,2012-Q4,Hombre,1,913945
23,2,Baja California,20124,2012-Q4,Mujer,2,598730
24,2,Baja California,20131,2013-Q1,Hombre,1,918577
25,2,Baja California,20131,2013-Q1,Mujer,2,564215
26,2,Baja California,20132,2013-Q2,Hombre,1,941585
27,2,Baja California,20132,2013-Q2,Mujer,2,630014
28,2,Baja California,20133,2013-Q3,Hombre,1,943097
29,2,Baja California,20133,2013-Q3,Mujer,2,606298
30,2,Baja California,20134,2013-Q4,Hombre,1,945022
31,2,Baja California,20134,2013-Q4,Mujer,2,610400
32,2,Baja California,20141,2014-Q1,Hombre,1,942765
33,2,Baja California,20141,2014-Q1,Mujer,2,595472
34,2,Baja California,20142,2014-Q2,Hombre,1,955747
35,2,Baja California,20142,2014-Q2,Mujer,2,614411
36,2,Baja California,20143,2014-Q3,Hombre,1,960396
37,2,Baja California,20143,2014-Q3,Mujer,2,596703
38,2,Baja California,20144,2014-Q4,Hombre,1,960321
39,2,Baja California,20144,2014-Q4,Mujer,2,610726
40,2,Baja California,20151,2015-Q1,Hombre,1,968506
41,2,Baja California,20151,2015-Q1,Mujer,2,593958
42,2,Baja California,20152,2015-Q2,Hombre,1,974737
43,2,Baja California,20152,2015-Q2,Mujer,2,600915
44,2,Baja California,20153,2015-Q3,Hombre,1,983179
45,2,Baja California,20153,2015-Q3,Mujer,2,590939
46,2,Baja California,20154,2015-Q4,Hombre,1,982756
47,2,Baja California,20154,2015-Q4,Mujer,2,614671
48,2,Baja California,20161,2016-Q1,Hombre,1,968464
49,2,Baja California,20161,2016-Q1,Mujer,2,608378
50,2,Baja California,20162,2016-Q2,Hombre,1,986135
51,2,Baja California,20162,2016-Q2,Mujer,2,609457
52,2,Baja California,20163,2016-Q3,Hombre,1,1004123
53,2,Baja California,20163,2016-Q3,Mujer,2,633041
54,2,Baja California,20164,2016-Q4,Hombre,1,988509
55,2,Baja California,20164,2016-Q4,Mujer,2,647867
56,2,Baja California,20171,2017-Q1,Hombre,1,982684
57,2,Baja California,20171,2017-Q1,Mujer,2,634167
58,2,Baja California,20172,2017-Q2,Hombre,1,1015242
59,2,Baja California,20172,2017-Q2,Mujer,2,668968
60,2,Baja California,20173,2017-Q3,Hombre,1,1018295
61,2,Baja California,20173,2017-Q3,Mujer,2,662064
62,2,Baja California,20174,2017-Q4,Hombre,1,1018845
63,2,Baja California,20174,2017-Q4,Mujer,2,658773
64,2,Baja California,20181,2018-Q1,Hombre,1,1040918
65,2,Baja California,20181,2018-Q1,Mujer,2,643496
66,2,Baja California,20182,2018-Q2,Hombre,1,1042965
67,2,Baja California,20182,2018-Q2,Mujer,2,682157
68,2,Baja California,20183,2018-Q3,Hombre,1,1025956
69,2,Baja California,20183,2018-Q3,Mujer,2,699757
70,2,Baja California,20184,2018-Q4,Hombre,1,1042561
71,2,Baja California,20184,2018-Q4,Mujer,2,699054
