,IdState,State,IdQuarter,Quarter,IdSex,Sex,Total,Monthly Wage
0,2,Baja California,20101,2010-Q1,1,Hombre,820298,5611.098110686604
1,2,Baja California,20101,2010-Q1,2,Mujer,494120,4575.120070023476
2,2,Baja California,20102,2010-Q2,1,Hombre,815491,5295.821490365926
3,2,Baja California,20102,2010-Q2,2,Mujer,511204,4031.5743245358017
4,2,Baja California,20103,2010-Q3,1,Hombre,811927,5364.455446117693
5,2,Baja California,20103,2010-Q3,2,Mujer,489946,4338.71903434256
6,2,Baja California,20104,2010-Q4,1,Hombre,822834,5087.5336082368985
7,2,Baja California,20104,2010-Q4,2,Mujer,512743,4486.429774760455
8,2,Baja California,20111,2011-Q1,1,Hombre,838148,5545.073192324028
9,2,Baja California,20111,2011-Q1,2,Mujer,486274,4353.151171973003
10,2,Baja California,20112,2011-Q2,1,Hombre,852560,5281.474764239467
11,2,Baja California,20112,2011-Q2,2,Mujer,502497,4377.252600513038
12,2,Baja California,20113,2011-Q3,1,Hombre,836620,5205.732697042863
13,2,Baja California,20113,2011-Q3,2,Mujer,515583,4245.235603190951
14,2,Baja California,20114,2011-Q4,1,Hombre,856059,5107.308308189038
15,2,Baja California,20114,2011-Q4,2,Mujer,544389,4062.4211051288694
16,2,Baja California,20121,2012-Q1,1,Hombre,841747,5242.882427855401
17,2,Baja California,20121,2012-Q1,2,Mujer,521057,4262.269757435367
18,2,Baja California,20122,2012-Q2,1,Hombre,870949,5295.86031903131
19,2,Baja California,20122,2012-Q2,2,Mujer,561167,4135.1277569778695
20,2,Baja California,20123,2012-Q3,1,Hombre,862794,4959.185277134518
21,2,Baja California,20123,2012-Q3,2,Mujer,553847,4084.684201593581
22,2,Baja California,20124,2012-Q4,1,Hombre,855177,5037.314381701098
23,2,Baja California,20124,2012-Q4,2,Mujer,568598,4093.168602422098
24,2,Baja California,20131,2013-Q1,1,Hombre,874914,5030.3663582935005
25,2,Baja California,20131,2013-Q1,2,Mujer,542587,4130.5059741571395
26,2,Baja California,20132,2013-Q2,1,Hombre,892625,4594.726330766
