,IdState,State,IdQuarter,Quarter,Total
0,2,Baja California,20101,2010-Q1,2338120
1,2,Baja California,20102,2010-Q2,2348417
2,2,Baja California,20103,2010-Q3,2349091
3,2,Baja California,20104,2010-Q4,2365044
4,2,Baja California,20111,2011-Q1,2384708
5,2,Baja California,20112,2011-Q2,2397672
6,2,Baja California,20113,2011-Q3,2410332
7,2,Baja California,20114,2011-Q4,2429049
8,2,Baja California,20121,2012-Q1,2442900
9,2,Baja California,20122,2012-Q2,2466773
10,2,Baja California,20123,2012-Q3,2473103
11,2,Baja California,20124,2012-Q4,2490234
12,2,Baja California,20131,2013-Q1,2489676
13,2,Baja California,20132,2013-Q2,2473350
14,2,Baja California,20133,2013-Q3,2462595
15,2,Baja California,20134,2013-Q4,2477852
16,2,Baja California,20141,2014-Q1,2491269
17,2,Baja California,20142,2014-Q2,2511505
18,2,Baja California,20143,2014-Q3,2532528
19,2,Baja California,20144,2014-Q4,2552604
20,2,Baja California,20151,2015-Q1,2565284
21,2,Baja California,20152,2015-Q2,2582878
22,2,Baja California,20153,2015-Q3,2590095
23,2,Baja California,20154,2015-Q4,2603679
24,2,Baja California,20161,2016-Q1,2613574
25,2,Baja California,20162,2016-Q2,2622101
26,2,Baja California,20163,2016-Q3,2633284
27,2,Baja California,20164,2016-Q4,2632916
28,2,Baja California,20171,2017-Q1,2648244
29,2,Baja California,20172,2017-Q2,2670344
30,2,Baja California,20173,2017-Q3,2689613
31,2,Baja California,20174,2017-Q4,2697094
32,2,Baja California,20181,2018-Q1,2705896
33,2,Baja California,20182,2018-Q2,2733201
34,2,Baja California,20183,2018-Q3,2750636
35,2,Baja California,20184,2018-Q4,2768665
36,2,Baja California,20191,2019-Q1,2796401
37,2,Baja California,20192,2019-Q2,2809391
38,2,Baja California,20193,2019-Q3,2818032
39,2,Baja California,20194,2019-Q4,2804157
40,2,Baja California,20201,2020-Q1,2815932
41,2,Baja California,20203,2020-Q3,2895743
42,2,Baja California,20204,2020-Q4,2869881
43,2,Baja California,20211,2021-Q1,2950486
44,2,Baja California,20212,2021-Q2,3004488
45,2,Baja California,20213,2021-Q3,2988639
46,2,Baja California,20214,2021-Q4,2997402
47,2,Baja California,20221,2022-Q1,3002343
48,2,Baja California,20222,2022-Q2,3011328
49,2,Baja California,20223,2022-Q3,3020888
50,2,Baja California,20224,2022-Q4,3002303
51,2,Baja California,20231,2023-Q1,3000717
52,2,Baja California,20232,2023-Q2,3018383
53,2,Baja California,20233,2023-Q3,3021505
54,2,Baja California,20234,2023-Q4,3030472
55,2,Baja California,20241,2024-Q1,3044892
56,2,Baja California,20242,2024-Q2,3039539
57,2,Baja California,20243,2024-Q3,3028456
58,2,Baja California,20244,2024-Q4,3024280
59,2,Baja California,20251,2025-Q1,3001402
