,IdState,State,IdQuarter,Quarter,Total
0,2,Baja California,20101,2010-Q1,80916
1,2,Baja California,20102,2010-Q2,74874
2,2,Baja California,20103,2010-Q3,80881
3,2,Baja California,20104,2010-Q4,75862
4,2,Baja California,20111,2011-Q1,76215
5,2,Baja California,20112,2011-Q2,79921
6,2,Baja California,20113,2011-Q3,87488
7,2,Baja California,20114,2011-Q4,106729
8,2,Baja California,20121,2012-Q1,82638
9,2,Baja California,20122,2012-Q2,95556
10,2,Baja California,20123,2012-Q3,106611
11,2,Baja California,20124,2012-Q4,88900
12,2,Baja California,20131,2013-Q1,65291
13,2,Baja California,20132,2013-Q2,83878
14,2,Baja California,20133,2013-Q3,98970
15,2,Baja California,20134,2013-Q4,79403
16,2,Baja California,20141,2014-Q1,90191
17,2,Baja California,20142,2014-Q2,88746
18,2,Baja California,20143,2014-Q3,94358
19,2,Baja California,20144,2014-Q4,73989
20,2,Baja California,20151,2015-Q1,63998
21,2,Baja California,20152,2015-Q2,74897
22,2,Baja California,20153,2015-Q3,61983
23,2,Baja California,20154,2015-Q4,59740
24,2,Baja California,20161,2016-Q1,45135
25,2,Baja California,20162,2016-Q2,39319
26,2,Baja California,20163,2016-Q3,47940
27,2,Baja California,20164,2016-Q4,37124
28,2,Baja California,20171,2017-Q1,46963
29,2,Baja California,20172,2017-Q2,48112
30,2,Baja California,20173,2017-Q3,50732
31,2,Baja California,20174,2017-Q4,46052
32,2,Baja California,20181,2018-Q1,35767
33,2,Baja California,20182,2018-Q2,45899
34,2,Baja California,20183,2018-Q3,53847
35,2,Baja California,20184,2018-Q4,38807
36,2,Baja California,20191,2019-Q1,44637
37,2,Baja California,20192,2019-Q2,44443
38,2,Baja California,20193,2019-Q3,51880
39,2,Baja California,20194,2019-Q4,39146
40,2,Baja California,20201,2020-Q1,38358
41,2,Baja California,20203,2020-Q3,45566
42,2,Baja California,20204,2020-Q4,49511
43,2,Baja California,20211,2021-Q1,44248
44,2,Baja California,20212,2021-Q2,44254
45,2,Baja California,20213,2021-Q3,52224
46,2,Baja California,20214,2021-Q4,37344
47,2,Baja California,20221,2022-Q1,34479
48,2,Baja California,20222,2022-Q2,46506
49,2,Baja California,20223,2022-Q3,47445
50,2,Baja California,20224,2022-Q4,49940
51,2,Baja California,20231,2023-Q1,31226
52,2,Baja California,20232,2023-Q2,42604
53,2,Baja California,20233,2023-Q3,45297
54,2,Baja California,20234,2023-Q4,41696
55,2,Baja California,20241,2024-Q1,38654
56,2,Baja California,20242,2024-Q2,50516
57,2,Baja California,20243,2024-Q3,49624
58,2,Baja California,20244,2024-Q4,44652
59,2,Baja California,20251,2025-Q1,38975
