,IdState,State,IdQuarter,Quarter,IdClasification,Clasification,MonthlyWage,Total
0,2,Baja California,20101,2010-Q1,1,Empleo Informal,3632.272319132263,579346
1,2,Baja California,20101,2010-Q1,2,Empleo Formal,6474.316050672587,735072
2,2,Baja California,20102,2010-Q2,1,Empleo Informal,3304.817446415871,586321
3,2,Baja California,20102,2010-Q2,2,Empleo Formal,5999.6269642099805,740374
4,2,Baja California,20103,2010-Q3,1,Empleo Informal,3657.6143532635115,565725
5,2,Baja California,20103,2010-Q3,2,Empleo Formal,5993.469211354239,736148
6,2,Baja California,20104,2010-Q4,1,Empleo Informal,3082.125869031861,593045
7,2,Baja California,20104,2010-Q4,2,Empleo Formal,6274.12926984965,742532
8,2,Baja California,20111,2011-Q1,1,Empleo Informal,3515.630297159314,572925
9,2,Baja California,20111,2011-Q1,2,Empleo Formal,6321.014922215259,751497
10,2,Baja California,20112,2011-Q2,1,Empleo Informal,3501.021619172289,595860
11,2,Baja California,20112,2011-Q2,2,Empleo Formal,6080.387149843848,759197
12,2,Baja California,20113,2011-Q3,1,Empleo Informal,3447.7243579181086,600819
13,2,Baja California,20113,2011-Q3,2,Empleo Formal,5952.393311542433,751384
14,2,Baja California,20114,2011-Q4,1,Empleo Informal,3209.9547424866855,655869
15,2,Baja California,20114,2011-Q4,2,Empleo Formal,6014.653648571878,744579
16,2,Baja California,20121,2012-Q1,1,Empleo Informal,3461.2286177276137,621426
17,2,Baja California,20121,2012-Q1,2,Empleo Formal,6047.075301667975,741378
18,2,Baja California,20122,2012-Q2,1,Empleo Informal,3325.9366093662748,662590
19,2,Baja California,20122,2012-Q2,2,Empleo Formal,6145.58721732599,769526
20,2,Baja California,20123,2012-Q3,1,Empleo Informal,3339.96941700503,660040
21,2,Baja California,20123,2012-Q3,2,Empleo Formal,5731.596943435179,756601
22,2,Baja California,20124,2012-Q4,1,Empleo Informal,3267.5287672656314,654407
23,2,Baja California,20124,2012-Q4,2,Empleo Formal,5844.8872113215,769368
24,2,Baja California,20131,2013-Q1,1,Empleo Informal,3276.6167265560653,605839
25,2,Baja California,20131,2013-Q1,2,Empleo Formal,5737.849740409185,811662
26,2,Baja California,20132,2013-Q2,1,Empleo Informal,3343.696021391542,659326
27,2,Baja California,20132,2013-Q2,2,Empleo Formal,5179.637447111583,828395
28,2,Baja California,20133,2013-Q3,1,Empleo Informal,3245.891251390489,605902
29,2,Baja California,20133,2013-Q3,2,Empleo Formal,5282.953084759089,844523
30,2,Baja California,20134,2013-Q4,1,Empleo Informal,3237.4433676123667,611258
31,2,Baja California,20134,2013-Q4,2,Empleo Formal,5153.252553017539,864761
32,2,Baja California,20141,2014-Q1,1,Empleo Informal,3093.824633065879,562090
33,2,Baja California,20141,2014-Q1,2,Empleo Formal,5070.789985055691,885956
34,2,Baja California,20142,2014-Q2,1,Empleo Informal,3273.9199513778494,601372
35,2,Baja California,20142,2014-Q2,2,Empleo Formal,5418.189456161083,880040
36,2,Baja California,20143,2014-Q3,1,Empleo Informal,3306.9248867038086,577248
37,2,Baja California,20143,2014-Q3,2,Empleo Formal,5322.892052224015,885493
38,2,Baja California,20144,2014-Q4,1,Empleo Informal,3187.822355926848,588694
39,2,Baja California,20144,2014-Q4,2,Empleo Formal,5233.372814202236,908364
40,2,Baja California,20151,2015-Q1,1,Empleo Informal,3395.607976322475,572695
41,2,Baja California,20151,2015-Q1,2,Empleo Formal,5275.7053526196005,925771
42,2,Baja California,20152,2015-Q2,1,Empleo Informal,3446.7338022278577,602552
43,2,Baja California,20152,2015-Q2,2,Empleo Formal,5328.943211055853,898203
44,2,Baja California,20153,2015-Q3,1,Empleo Informal,3317.54158324757,604378
45,2,Baja California,20153,2015-Q3,2,Empleo Formal,5121.392938859188,907757
46,2,Baja California,20154,2015-Q4,1,Empleo Informal,3369.7476660120897,638071
47,2,Baja California,20154,2015-Q4,2,Empleo Formal,5088.620938266994,899616
48,2,Baja California,20161,2016-Q1,1,Empleo Informal,3736.452112784908,634021
49,2,Baja California,20161,2016-Q1,2,Empleo Formal,5464.720375498782,897686
50,2,Baja California,20162,2016-Q2,1,Empleo Informal,3608.336649652829,628508
51,2,Baja California,20162,2016-Q2,2,Empleo Formal,5522.457761394318,927765
52,2,Baja California,20163,2016-Q3,1,Empleo Informal,3639.7880420791685,629290
53,2,Baja California,20163,2016-Q3,2,Empleo Formal,5783.441081366011,959934
54,2,Baja California,20164,2016-Q4,1,Empleo Informal,3443.26789658967,611583
55,2,Baja California,20164,2016-Q4,2,Empleo Formal,5361.3959990644635,987669
56,2,Baja California,20171,2017-Q1,1,Empleo Informal,3852.9195380852725,594915
57,2,Baja California,20171,2017-Q1,2,Empleo Formal,5318.255889137443,974973
58,2,Baja California,20172,2017-Q2,1,Empleo Informal,3465.0594548981157,658886
59,2,Baja California,20172,2017-Q2,2,Empleo Formal,5335.671447956021,977212
60,2,Baja California,20173,2017-Q3,1,Empleo Informal,3350.897609201444,646855
61,2,Baja California,20173,2017-Q3,2,Empleo Formal,4999.897240662127,982772
62,2,Baja California,20174,2017-Q4,1,Empleo Informal,3481.617876597769,651690
63,2,Baja California,20174,2017-Q4,2,Empleo Formal,5497.09051859623,979876
64,2,Baja California,20181,2018-Q1,1,Empleo Informal,3799.3260508041903,660851
65,2,Baja California,20181,2018-Q1,2,Empleo Formal,5727.02894423545,987796
66,2,Baja California,20182,2018-Q2,1,Empleo Informal,3775.7044064890233,664815
67,2,Baja California,20182,2018-Q2,2,Empleo Formal,6332.3799289832095,1014408
68,2,Baja California,20183,2018-Q3,1,Empleo Informal,3593.495324564123,677370
69,2,Baja California,20183,2018-Q3,2,Empleo Formal,5289.232494650557,994496
70,2,Baja California,20184,2018-Q4,1,Empleo Informal,3787.429208045694,657942
71,2,Baja California,20184,2018-Q4,2,Empleo Formal,5509.783503339184,1044866
72,2,Baja California,20191,2019-Q1,1,Empleo Informal,4079.4883090632748,634252
73,2,Baja California,20191,2019-Q1,2,Empleo Formal,5990.520806205977,1050600
74,2,Baja California,20192,2019-Q2,1,Empleo Informal,3926.0944222703542,660681
75,2,Baja California,20192,2019-Q2,2,Empleo Formal,5975.918736718276,1054080
76,2,Baja California,20193,2019-Q3,1,Empleo Informal,4251.621312335466,640446
77,2,Baja California,20193,2019-Q3,2,Empleo Formal,6334.022102404943,1081647
78,2,Baja California,20194,2019-Q4,1,Empleo Informal,3985.028222023382,644851
79,2,Baja California,20194,2019-Q4,2,Empleo Formal,6077.059451285694,1082567
80,2,Baja California,20201,2020-Q1,1,Empleo Informal,4269.191911256412,646627
81,2,Baja California,20201,2020-Q1,2,Empleo Formal,6526.352461590318,1041339
82,2,Baja California,20203,2020-Q3,1,Empleo Informal,4044.4350584245703,597437
